"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Battery Park","New York","NY","New York","New York",155,,,,,,,,,,,,3295,3150,3095,3395,3082.5,3145,3597.5,3650,3500,3450,3395,3400,3590,3772.5,3750,3707.5,3750,3895,3995,3800,3800,3800,3895,3650,3565,3500,3500,3550,3745,3695,3655,3795,3995,3800,3550,3500,3500,3500,3500,3500,3725,4047.5,3997.5,3897.5,3997.5,3750,3950,3800,3797.5,3650,3650,3737.5,3712.5,3895,3895,4000,4197.5,4150,4400,4145,3997.5
"West University","Austin","TX","Austin","Travis",156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1450,1475,1475,1475,1400,1600,1500,1475,1395,1395,1450,1500,1495,1500,1500,1480,1500,1495,1275,1350,1350,1580,1600,1600,1575,1750
"Pioneer Park","Las Vegas","NV","Las Vegas","Clark",157,,,,,,,,,,,,,,,,,,,,,,750,797.5,795,762.5,800,825,825,815,800,750,750,750,795,800,799,800,800,800,800,812.5,850,850,795,795,785,795,800,800,825,812.5,850,850,850,850,872.5,850,850,850,825,800,862.5,897,875,875,857.5,857.5,850,895,850,850,850
"Dupont Circle","Washington","DC","Washington","District of Columbia",158,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2200,2500,2612.5,2275,2200,2400,2300,2300,2350,2462.5,2475,2500,2569.5,2499,2499,2500,2400,2300,2520,2600,2500,2410,2450,2430,2455,2497.5,2300,2400,2495,2500,2350,2350,2200,2100,2345,2400,2400,2395,2365,2305,2300,2425,2372.5,2545,2500,2487.5
"Near West Side","Chicago","IL","Chicago","Cook",159,,,,,,,,,,,,1600,1700,1700,1675,1655,1700,1800,1900,1900,1972.5,2000,1850,1937.5,2000,1900,1925,1985,1897.5,1900,1980,1950,2000,1900,1925,1850,1875,1887.5,1850,1860,1860,1900,1899,1900,1900,1900,2000,2000,2000,2000,2000,2200,2100,1995,2100,2000,2050,2200,2250,2200,2100,2197.5,2197.5,2200,2200,2272.5,2447.5,2400,2250,2300,2250,2200
"Mission Hill","Boston","MA","Boston","Suffolk",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3100,3100,3100,3050,3000,3000,3000,3000,2952.5,3000,3100,3600,3900,3650,3600,3575,3537.5,3449.5,3000,3000,3200,3152.5,3197.5,3400,3600
"Lincoln Park","Chicago","IL","Chicago","Cook",161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2050,2025,2100,2112.5,2170,2190,2045,1850,1815,1775,1800,1795,1815,1897.5,1850,1775,1750,1775
"North Shore","Miami Beach","FL","Miami-Fort Lauderdale","Miami-Dade",162,,,,,,,,,2100,2000,1725,1700,1690,1695,1725,1800,1800,1900,2000,1950,1975,1980,1900,1800,1950,1995,2150,2100,2100,1900,1800,1850,1800,1800,1800,1800,1850,1900,2100,2275,2300,2300,2100,2250,2200,2200,2200,2250,2200,2150,2100,2275,2350,2400,2250,2100,2000,2050,2000,2100,2200,2295,2500,2500,2400,2322.5,2300,2250,2250,2300,2300,2250
"Georgetown","Washington","DC","Washington","District of Columbia",163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950,3950,3850,3500,3325,3250,3550,3300,3350,3400,3500,3600,3500,3500,3500,3500,3497.5
"South Lakes Dr - Soapstone Dr","Reston","VA","Washington","Fairfax",164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1750,1712.5,1700,1750,1750,1750,1700,1774.5,1850,1872.5,1825,1750,1772.5,1750,1795,1795,1797.5,1795,1795,1700,1800,1800,1725,1750,1750,1795,1800,1800,1800,1800,1795,1750,1800,1750,1750,1700,1725,1800
