"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01"
"Southeast Raleigh","Raleigh","NC","Raleigh","Wake",571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900,119900,119450,119950,119900,121250,120000,129750,125250,124899.5,123250,119000,126750,124995,122920,124500,121795,126145,136900,139900,129900,125770,136500,132950,121800,122500,118450,119038.5,119900,127500,128250,139900,134950,139900,147000,147000,145490,142945
"West Colorado Springs","Colorado Springs","CO","Colorado Springs","El Paso",572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242500,239450,230000,235000,239900,239950,239950,237430,229900,230000,234500,234900,236380,244950,249900,242500,271450,273000,295647.5,296147.5,292295,279900,279900,299000,304900,292250,326950,290000,278350,279000,299000,299450,323650,330000
"Canyon Crest","Riverside","CA","Riverside","Riverside",573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369900,370000,375000,370000,369000,382495,402450,422000,410000,389900,409000,419250,405000,394999.5,399900,399900,419000,422888,420000,412900,410000,419888,419894,422450,418394,409925,434500
"Cambria Heights","New York","NY","New York","Queens",574,348000,349949.5,349000,344900,299499.5,319999,309990,327000,340000,314999.5,309995,309000,299999,309000,299493.5,275000,285000,299000,287000,299000,299000,299000,3e+05,289000,299999,299999,3e+05,319000,309000,319000,319000,312500,299900,309500,342500,339450,332750,349000,374500,309000,309000,304499.5,299949.5,320000,329000,329000,349650,349825,385000,399000,419000,389999,379000,372500,379450,389999,399000,399000,415000,409999.5,410000,435000,437000,399999,439000,425000,429000,415000,399000,429000,392000,410000,429000
"Montclare","Chicago","IL","Chicago","Cook",575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163700,169450,167450,163700,174900,189900,184900,186900,209900,209900,198000,196900,193450,195900,189900,189900,201950,199900,207450,211950,204950,204950,214500,224900,214900,207000,209450
"Firestone Park","Akron","OH","Akron","Summit",576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59900,60000,59900,55900,59900,59900,64900,64900,64900,59999.5,59949.5,59900,59900,59900,59900,59900,59999,59945,59990,64900,66350,65700,64900,64300,64900,64800,64900
"North Hill","Akron","OH","Akron","Summit",577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44900,44875,45000,44175,42900,39950,44000,49900,49900,49900,49900,43900,44900,44900,39900,39949.5,39900,42900,45450,50000,53900,49450,45000,44900,45950,45000,47200
"Pioneer Park","Las Vegas","NV","Las Vegas","Clark",578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109700,105000,108750,104900,94950,98000,95000,98000,95000,104950,99250,105000,105000,109990,110000,109624.5,109249.5,105000,105000,104900,104900,102497.5,110000,115000,125000,139900,138500
"Dupont Circle","Washington","DC","Washington","District of Columbia",579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415000,399000,399450,446500,439000,439000,459000,435000,435000,425000,412000,425000,399000,395000,419000,437000,424750,424900,392750,399000,386950,399900,419450,439000,396000,387000,424950,405000,392000,419900,454499.5,459000,431500,409900,399000
"Afton Oaks - River Oaks Area","Houston","TX","Houston","Harris",580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580000,1399000,1437000,1437000,1249000,1299000,1299000,1397250,1247500,1200000,1170000,1270000,1217450,1129000
