GEO.id,GEO.display-label,TotalHH,AvgHHSize,NonFamilyHHSize,HHChildren18,TotalHHNonFamily,HHOwnerOcc,HHRentOcc,GEO.id2
1400000US11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",1158,2.55,1.11,355,440,38.2,61.8,11001007407
1400000US11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",1052,2.75,1.11,343,336,4.7,95.3,11001007408
1400000US11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",1542,2.5,1.09,514,578,16.3,83.7,11001007409
1400000US11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",1687,2.9,1.16,502,695,13.2,86.8,11001007502
1400000US11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",899,2.83,1.16,320,396,31.7,68.3,11001007503
1400000US11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",988,2.53,1.18,310,464,22.6,77.4,11001007504
1400000US11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",1808,2.1,1.14,282,1025,51.2,48.8,11001007601
1400000US11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",1960,1.85,1.08,187,1224,45.4,54.6,11001007603
1400000US11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",1616,2.34,1.28,304,771,33.6,66.4,11001007604
1400000US11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",1563,2.19,1.11,299,750,21.6,78.4,11001007605
1400000US11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",2172,2.24,1.12,650,1072,24.3,75.7,11001007703
1400000US11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",1467,2.98,1.4,359,545,40.4,59.6,11001007707
1400000US11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",1099,2.53,1.06,296,436,13.1,86.9,11001007708
1400000US11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",949,1.85,1.04,139,592,23,77,11001007709
1400000US11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",1350,2.2,1.1,192,752,37.6,62.4,11001007803
1400000US11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",1081,2.79,1.31,242,479,41.6,58.4,11001007804
1400000US11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",865,2.43,1.14,168,403,31.6,68.4,11001007806
1400000US11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",884,2.48,1.07,288,359,33.1,66.9,11001007807
1400000US11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",1315,3.26,1.15,360,499,42.6,57.4,11001007808
1400000US11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",1131,2.33,1.32,254,513,61.7,38.3,11001007809
1400000US11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",1572,2.56,1.35,349,769,33.7,66.3,11001007901
1400000US11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",736,2.3,1.15,133,388,66.2,33.8,11001007903
1400000US11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",1352,2.19,1.46,248,728,70.2,29.8,11001008001
1400000US11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",1602,2.26,1.59,260,854,65.4,34.6,11001008002
1400000US11001008100,"Census Tract 81, District of Columbia, District of Columbia",1372,2.34,1.71,259,825,57.1,42.9,11001008100
1400000US11001008200,"Census Tract 82, District of Columbia, District of Columbia",1425,1.99,1.63,167,1058,41.3,58.7,11001008200
1400000US11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",1007,2.41,2.04,151,568,56.8,43.2,11001008301
1400000US11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",985,2.3,1.94,184,610,52.1,47.9,11001008302
1400000US11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",1045,1.89,1.52,62,754,39.3,60.7,11001008402
1400000US11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",533,2.76,1.74,116,274,66.6,33.4,11001008410
1400000US11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",890,2.51,1.64,50,558,48.7,51.3,11001008701
1400000US11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",697,2.47,1.34,47,386,52.7,47.3,11001008702
1400000US11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",1799,2.53,1.55,238,1012,43.6,56.4,11001008802
1400000US11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",480,1.8,1.02,98,322,16,84,11001008803
1400000US11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",1122,2.37,1.34,191,703,29.1,70.9,11001008804
1400000US11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",1415,2.38,1.18,379,645,22.7,77.3,11001008903
1400000US11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",1559,2.01,1.15,307,943,12.8,87.2,11001008904
1400000US11001009000,"Census Tract 90, District of Columbia, District of Columbia",1694,1.76,1.04,181,1156,37.7,62.3,11001009000
1400000US11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",1860,2.76,1.23,565,868,32.5,67.5,11001009102
1400000US11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",601,2.17,1.24,118,360,40.8,59.2,11001009201
1400000US11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",1007,2.72,1.5,191,599,54.4,45.6,11001009203
1400000US11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",1349,2.19,1.1,375,662,14.7,85.3,11001009204
1400000US11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",1169,2.77,1.33,287,408,74.1,25.9,11001009301
1400000US11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",448,2.27,1.23,55,236,74.1,25.9,11001009302
1400000US11001009400,"Census Tract 94, District of Columbia, District of Columbia",1651,2.68,1.48,306,719,77.6,22.4,11001009400
1400000US11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",1763,2.81,1.58,594,780,21.5,78.5,11001009501
1400000US11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",1225,2.51,1.3,287,489,84.9,15.1,11001009503
1400000US11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",1216,2.24,1.29,187,580,50.2,49.8,11001009504
1400000US11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",1101,2.52,1.06,149,483,86.1,13.9,11001009505
1400000US11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",591,2.75,1.16,78,271,88.2,11.8,11001009507
1400000US11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",1632,2.25,1.2,258,884,52,48,11001009508
1400000US11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",1266,2.62,1.1,234,516,85.1,14.9,11001009509
1400000US11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",768,2.78,1.2,255,289,45.3,54.7,11001009601
1400000US11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",1454,2.17,1.09,485,712,4.2,95.8,11001009602
1400000US11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",1481,1.93,1.15,193,954,27.2,72.8,11001009603
1400000US11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",993,2.05,1.13,118,610,63.6,36.4,11001009604
1400000US11001009700,"Census Tract 97, District of Columbia, District of Columbia",1088,2.68,-,329,341,40.1,59.9,11001009700
